Study Name	W_beamline_2018_02_01
Sample Name	3.7MeV_He_in_W
Run Name	run02
Operator	Cody
Date	2/1/2018
Time	10:34 AM
Sign	NEG
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	21
dt	50.000001E-12
time stamp (ms)	10:46:46 AM
	
Time	Amplitude
3.190000E-8	2.946773E-3
3.195000E-8	3.054707E-3
3.200000E-8	3.030721E-3
3.205000E-8	2.893662E-3
3.210000E-8	2.559580E-3
3.215000E-8	2.134697E-3
3.220000E-8	1.665269E-3
3.225000E-8	1.110179E-3
3.230000E-8	4.865601E-4
3.235000E-8	-1.507651E-4
3.240000E-8	-8.686127E-4
3.245000E-8	-1.706387E-3
3.250000E-8	-2.563007E-3
3.255000E-8	-3.356237E-3
3.260000E-8	-4.007268E-3
3.265000E-8	-4.435578E-3
3.270000E-8	-4.670292E-3
3.275000E-8	-4.829623E-3
3.280000E-8	-4.858749E-3
3.285000E-8	-4.610329E-3
3.290000E-8	-4.110063E-3
3.295000E-8	-3.476164E-3
3.300000E-8	-2.741184E-3
3.305000E-8	-1.927395E-3
3.310000E-8	-1.082768E-3
3.315000E-8	-2.569860E-4
3.320000E-8	5.071190E-4
3.325000E-8	1.072488E-3
3.330000E-8	1.398004E-3
3.335000E-8	1.608732E-3
3.340000E-8	1.771490E-3
3.345000E-8	1.875998E-3
3.350000E-8	1.939388E-3
3.355000E-8	2.013057E-3
3.360000E-8	2.112425E-3
3.365000E-8	2.258050E-3
3.370000E-8	2.453360E-3
3.375000E-8	2.580139E-3
3.380000E-8	2.542448E-3
3.385000E-8	2.341999E-3
3.390000E-8	2.045609E-3
3.395000E-8	1.660130E-3
3.400000E-8	1.089621E-3
3.405000E-8	3.220891E-4
3.410000E-8	-5.790751E-4
3.415000E-8	-1.589887E-3
3.420000E-8	-2.645242E-3
3.425000E-8	-3.640635E-3
3.430000E-8	-4.492115E-3
3.435000E-8	-5.127727E-3
3.440000E-8	-5.420691E-3
3.445000E-8	-5.323037E-3
3.450000E-8	-4.970109E-3
3.455000E-8	-4.521240E-3
3.460000E-8	-3.897621E-3
3.465000E-8	-3.071839E-3
3.470000E-8	-2.199800E-3
3.475000E-8	-1.394577E-3
3.480000E-8	-6.064869E-4
3.485000E-8	1.610446E-4
3.490000E-8	7.880904E-4
3.495000E-8	1.276364E-3
3.500000E-8	1.704674E-3
3.505000E-8	2.100432E-3
3.510000E-8	2.424235E-3
3.515000E-8	2.689787E-3
3.520000E-8	2.957052E-3
3.525000E-8	3.229457E-3
3.530000E-8	3.426480E-3
3.535000E-8	3.496723E-3
3.540000E-8	3.462458E-3
3.545000E-8	3.347671E-3
3.550000E-8	3.107817E-3
3.555000E-8	2.753177E-3
3.560000E-8	2.367698E-3
3.565000E-8	1.935961E-3
3.570000E-8	1.377445E-3
3.575000E-8	6.801563E-4
3.580000E-8	-1.062209E-4
3.585000E-8	-9.439952E-4
3.590000E-8	-1.771490E-3
3.595000E-8	-2.539022E-3
3.600000E-8	-3.214038E-3
3.605000E-8	-3.705738E-3
3.610000E-8	-3.935312E-3
3.615000E-8	-3.950731E-3
3.620000E-8	-3.823952E-3
3.625000E-8	-3.503576E-3
3.630000E-8	-2.970758E-3
3.635000E-8	-2.328293E-3
3.640000E-8	-1.591600E-3
3.645000E-8	-7.384064E-4
3.650000E-8	1.284930E-4
3.655000E-8	8.634729E-4
3.660000E-8	1.476813E-3
3.665000E-8	2.037042E-3
3.670000E-8	2.551014E-3
3.675000E-8	2.948486E-3
3.680000E-8	3.241450E-3
3.685000E-8	3.447039E-3
3.690000E-8	3.584098E-3
3.695000E-8	3.589238E-3
3.700000E-8	3.474451E-3
3.705000E-8	3.236310E-3
3.710000E-8	2.862824E-3
3.715000E-8	2.395109E-3
3.720000E-8	1.941101E-3
3.725000E-8	1.497372E-3
3.730000E-8	9.611276E-4
3.735000E-8	3.118097E-4
3.740000E-8	-3.923319E-4
3.745000E-8	-1.134165E-3
3.750000E-8	-1.923968E-3
3.755000E-8	-2.694926E-3
3.760000E-8	-3.440186E-3
3.765000E-8	-4.080938E-3
3.770000E-8	-4.562358E-3
3.775000E-8	-4.935844E-3
3.780000E-8	-5.245941E-3
3.785000E-8	-5.400132E-3
3.790000E-8	-5.365868E-3
3.795000E-8	-5.221955E-3
3.800000E-8	-4.958116E-3
3.805000E-8	-4.540086E-3
3.810000E-8	-4.017548E-3
3.815000E-8	-3.357950E-3
3.820000E-8	-2.511610E-3
3.825000E-8	-1.504225E-3
3.830000E-8	-4.779939E-4
3.835000E-8	5.550897E-4
3.840000E-8	1.620725E-3
3.845000E-8	2.646956E-3
3.850000E-8	3.489870E-3
3.855000E-8	4.139188E-3
3.860000E-8	4.612042E-3
3.865000E-8	4.870741E-3
3.870000E-8	4.810778E-3
3.875000E-8	4.478409E-3
3.880000E-8	4.005555E-3
3.885000E-8	3.484730E-3
3.890000E-8	2.883383E-3
3.895000E-8	2.211793E-3
3.900000E-8	1.565901E-3
3.905000E-8	9.628409E-4
3.910000E-8	3.734863E-4
3.915000E-8	-2.552728E-4
3.920000E-8	-8.806053E-4
3.925000E-8	-1.449401E-3
3.930000E-8	-1.956520E-3
3.935000E-8	-2.460213E-3
