Study Name	W_beamline_2018_02_01
Sample Name	3.7MeV_He_in_W
Run Name	run02
Operator	Cody
Date	2/1/2018
Time	10:34 AM
Sign	POS
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	375
dt	50.000001E-12
time stamp (ms)	2:15:44 PM
	
Time	Amplitude
2.955000E-8	3.784547E-3
2.960000E-8	3.051280E-3
2.965000E-8	2.384830E-3
2.970000E-8	1.714953E-3
2.975000E-8	1.106753E-3
2.980000E-8	6.116267E-4
2.985000E-8	1.593313E-4
2.990000E-8	-2.775449E-4
2.995000E-8	-6.493179E-4
3.000000E-8	-9.765468E-4
3.005000E-8	-1.308915E-3
3.010000E-8	-1.601879E-3
3.015000E-8	-1.829740E-3
3.020000E-8	-2.023336E-3
3.025000E-8	-2.172388E-3
3.030000E-8	-2.184381E-3
3.035000E-8	-2.004491E-3
3.040000E-8	-1.636144E-3
3.045000E-8	-1.117032E-3
3.050000E-8	-4.968396E-4
3.055000E-8	1.901696E-4
3.060000E-8	9.302893E-4
3.065000E-8	1.675549E-3
3.070000E-8	2.389970E-3
3.075000E-8	3.063273E-3
3.080000E-8	3.695459E-3
3.085000E-8	4.235129E-3
3.090000E-8	4.605189E-3
3.095000E-8	4.834763E-3
3.100000E-8	5.002661E-3
3.105000E-8	5.071190E-3
3.110000E-8	4.940984E-3
3.115000E-8	4.714836E-3
3.120000E-8	4.521240E-3
3.125000E-8	4.265967E-3
3.130000E-8	3.817099E-3
3.135000E-8	3.287707E-3
3.140000E-8	2.831986E-3
3.145000E-8	2.367698E-3
3.150000E-8	1.817748E-3
3.155000E-8	1.271224E-3
3.160000E-8	8.000831E-4
3.165000E-8	3.786260E-4
3.170000E-8	-1.027944E-5
3.175000E-8	-3.409348E-4
3.180000E-8	-6.270458E-4
3.185000E-8	-8.446273E-4
3.190000E-8	-9.679806E-4
3.195000E-8	-1.009098E-3
3.200000E-8	-9.799733E-4
3.205000E-8	-8.720391E-4
3.210000E-8	-7.127078E-4
3.215000E-8	-5.054058E-4
3.220000E-8	-1.781770E-4
3.225000E-8	2.792581E-4
3.230000E-8	8.052228E-4
3.235000E-8	1.457967E-3
3.240000E-8	2.285462E-3
3.245000E-8	3.121523E-3
3.250000E-8	3.811959E-3
3.255000E-8	4.408166E-3
3.260000E-8	4.949550E-3
3.265000E-8	5.329889E-3
3.270000E-8	5.545758E-3
3.275000E-8	5.670824E-3
3.280000E-8	5.643412E-3
3.285000E-8	5.377860E-3
3.290000E-8	4.911859E-3
3.295000E-8	4.313938E-3
3.300000E-8	3.620076E-3
3.305000E-8	2.864537E-3
3.310000E-8	2.093579E-3
3.315000E-8	1.377445E-3
3.320000E-8	7.726712E-4
3.325000E-8	2.278609E-4
3.330000E-8	-3.255156E-4
3.335000E-8	-8.343479E-4
3.340000E-8	-1.212974E-3
3.345000E-8	-1.524784E-3
3.350000E-8	-1.865718E-3
3.355000E-8	-2.213506E-3
3.360000E-8	-2.468779E-3
3.365000E-8	-2.571573E-3
3.370000E-8	-2.549301E-3
3.375000E-8	-2.398536E-3
3.380000E-8	-2.042182E-3
3.385000E-8	-1.481953E-3
3.390000E-8	-8.480538E-4
3.395000E-8	-1.473386E-4
3.400000E-8	7.452594E-4
3.405000E-8	1.807468E-3
3.410000E-8	2.881670E-3
3.415000E-8	3.949018E-3
3.420000E-8	5.016367E-3
3.425000E-8	5.915818E-3
3.430000E-8	6.510312E-3
3.435000E-8	6.861526E-3
3.440000E-8	7.025997E-3
3.445000E-8	6.993445E-3
3.450000E-8	6.758732E-3
3.455000E-8	6.380106E-3
3.460000E-8	5.874700E-3
3.465000E-8	5.269926E-3
3.470000E-8	4.565784E-3
3.475000E-8	3.830805E-3
3.480000E-8	3.123236E-3
3.485000E-8	2.427661E-3
3.490000E-8	1.745792E-3
3.495000E-8	1.146158E-3
3.500000E-8	6.441782E-4
3.505000E-8	1.353460E-4
3.510000E-8	-3.871922E-4
3.515000E-8	-8.017963E-4
3.520000E-8	-1.106753E-3
3.525000E-8	-1.392864E-3
3.530000E-8	-1.649850E-3
3.535000E-8	-1.797189E-3
3.540000E-8	-1.822887E-3
3.545000E-8	-1.747505E-3
3.550000E-8	-1.543629E-3
3.555000E-8	-1.163290E-3
3.560000E-8	-6.064869E-4
3.565000E-8	9.080172E-5
3.570000E-8	8.480538E-4
3.575000E-8	1.648137E-3
3.580000E-8	2.496191E-3
3.585000E-8	3.294560E-3
3.590000E-8	3.957584E-3
3.595000E-8	4.565784E-3
3.600000E-8	5.163705E-3
3.605000E-8	5.595442E-3
3.610000E-8	5.771905E-3
3.615000E-8	5.792464E-3
3.620000E-8	5.708516E-3
3.625000E-8	5.466949E-3
3.630000E-8	5.045492E-3
3.635000E-8	4.500681E-3
3.640000E-8	3.870209E-3
3.645000E-8	3.208898E-3
3.650000E-8	2.539022E-3
3.655000E-8	1.841733E-3
3.660000E-8	1.146158E-3
3.665000E-8	4.488689E-4
3.670000E-8	-2.981038E-4
3.675000E-8	-1.034797E-3
3.680000E-8	-1.632718E-3
3.685000E-8	-2.097006E-3
3.690000E-8	-2.485911E-3
3.695000E-8	-2.794294E-3
3.700000E-8	-3.013589E-3
3.705000E-8	-3.171207E-3
3.710000E-8	-3.174634E-3
3.715000E-8	-2.907368E-3
3.720000E-8	-2.436227E-3
3.725000E-8	-1.882851E-3
3.730000E-8	-1.259231E-3
3.735000E-8	-5.687957E-4
3.740000E-8	1.439122E-4
3.745000E-8	8.514803E-4
3.750000E-8	1.516217E-3
